Name,Brand*,Lat*,Lng*,Address1,Address2,City,State,Zip code,Country,Phone,Store hours,Time zone,Dma Code,Status*
La Victoria Taqueria,Mexican,42.4149942398071,-71.1510061472654,12 Medford St,Arlington Center,Arlington,MA,02474,US,7818595503
Blue Ribbon BBQ,Barbeque,42.4176821,-71.1648104,908 Massachusetts Ave,Arlington Center,Arlington,MA,02476,US,7816487427
Toraya,Sushi Bars,42.4174524843693,-71.1640101671219,890 Massachusetts Ave,Arlington Center,Arlington,MA,02476,US,7816417477
D'Agostino's Delicatessen,Delis,42.4243774,-71.1818085,1297 Massachusetts Ave,Arlington Heights,Arlington,MA,02474,US,7816464949
Anthony's East Side Deli,Delis,42.4050584,-71.1411091,159 Massachusetts Ave,East Arlington,Arlington,MA,02474,US,7817772033
Sabzi,Persian/Iranian,42.41114,-71.1484399,352 Massachusetts Ave,East Arlington,Arlington,MA,02474,US,7817530150
Madrona Tree,Burgers,42.4144554,-71.1502533,315 Broadway,Arlington Center,Arlington,MA,02474,US,7818595551
Za,Pizza,42.404149,-71.1404307,138 Massachusetts Ave,East Arlington,Arlington,MA,02474,US,7813162334
La Posada Restaurante,Mexican,42.4242504,-71.1826326,1312 Massachusetts Ave,Arlington Heights,Arlington,MA,02476,US,7813168300
Thai Moon,Thai,42.4160728,-71.1541977,663 Massachusetts Ave,Arlington Center,Arlington,MA,02476,US,7816463334
Acitron Cocina Mexicana,Mexican,42.4151213,-71.1518327,473 Massachusetts Ave,Arlington Center,Arlington,MA,02474,US,7817772839
Punjab,Indian,42.415056,-71.1516307,485 Massachusetts Ave,Arlington Center,Arlington,MA,02474,US,7816430943
Sabatino's Italian Kitchen,Italian,42.4067612,-71.1439514,242 Massachusetts Ave,East Arlington,Arlington,MA,02476,US,7816464126
Woori,Korean,42.414888292551,-71.1509826779366,9 Medford St,Arlington Center,Arlington,MA,02474,US,7816484781
Little Q Hot Pot,Chinese,42.405507,-71.1421785,196 Massachusetts Ave,East Arlington,Arlington,MA,02474,US,7814883755
Maria's Pizzeria and Subs,Pizza,42.402675524354,-71.1384607851505,86 Massachusetts Ave,North Cambridge,Arlington,MA,02474,US,7816488011
Boyles Market,Delis,42.4087923020124,-71.1376889795065,64 Broadway,East Arlington,Arlington,MA,02474,US,7816461188
Thai E-Sarn Cuisine,Thai,42.4246254,-71.1843155,1377 Massachusetts Ave,Arlington Heights,Arlington,MA,02476,US,7816482223
Fresh Pond Seafood,Seafood,42.4191246,-71.1566315,75 Summer St,Arlington Center,Arlington,MA,02474,US,7817771784
Sono Asian,Asian Fusion,42.4277064,-71.1742079,471 Summer St,"Arlington, MA 02474",Arlington,MA,02474,US,7816488866
